CustomerKey, PostcodeOuter
16721147,B11
16721148,DN31
16721154,BA11
16721165,IP18
16721166,B79
16721167,B79
16721173,BR1
16721201,BS2
16721203,DA3
16721204,ME15
16721207,DE22
16721212,SN12
16721215,ME10
16721218,ME17
16721219,ME8
16721224,BA11
16721227,BA14
16721230,B4
16721243,ME1
16721248,IP1
16721252,NN1
16721253,NN11
16721254,NN7
16721260,LN1
16721261,PE2
16721264,BS37
16721276,BA3
16721284,ME20
16721288,DA3
16721289,CR0
16724266,CT10
16724268,CT1
16724271,ME10
16724272,CT2
16724276,TN23
16721291,ME2
16721294,DE12
16721308,PE15
16721314,SG13
16721315,CB4
16724278,SG8
16724280,CT2
16724281,CT10
16724282,TN29
16724285,TN12
16721316,CB1
16721318,BS20
16721323,ME2
16721324,ME19
16721330,ME2
16724287,IG2
16724297,CT20
16724299,CT15
16724302,TN23
16724306,ME13
16721336,NR19
16721340,NG34
16721350,BA16
16721351,BA6
16721352,BA14
16724308,TN26
16724311,CT12
16724317,CT19
16724320,B29
16724321,SL4
16721354,BA3
16721356,ME2
16721357,ME2
16721361,N10
16721362,NN5
16721368,SG17
16721378,ME5
16721379,DA99
16721380,CB22
16721381,NR20
16724322,TN24
16724327,CT19
16724329,CT9
16724331,CT21
16724337,CT9
16721387,L33
16721399,ME2
16721401,ME10
16721403,ME8
16721405,TN17
16724342,CT9
16724344,CT1
16724358,CT20
16724362,CT20
16724365,CT20
16721406,CF11
16721411,CF31
16721416,BS21
16721421,CB2
16721422,TN24
16721423,CT3
16721424,CF83
16721425,CF3
16721435,BS37
16721443,ME13
16721448,N1
16721452,DA1
16721456,ME15
16721458,DA17
16721460,RG24
16721466,TS19
16721467,NE23
16721469,NE21
16721473,LN6
16721475,PE10
16724367,TN30
16724376,CT10
16724378,CT19
16724385,CT5
16724387,CT5
16727451,NN5
16727455,DN21
16727457,NN7
16727461,NN2
16727465,NN10
16721478,HG5
16721480,B92
16721482,WS11
16721488,B97
16721495,SY4
16724392,TN29
16724395,CT15
16724400,CT20
16724401,CT12
16724413,CT17
16724414,CT20
16724415,CT20
16724417,CT20
16724420,CT21
16724421,CT5
16727468,NN1
16727469,NN6
16727475,MK15
16727477,CB23
16727479,NN16
16721499,CB24
16721500,ME14
16721503,POL
16721504,TN13
16721506,ME1
16724423,CT8
16724424,CT20
16724429,CT20
16724433,TN23
16724435,CT11
16727480,MK42
16727481,MK16
16727484,NN1
16727485,NN4
16727487,NN8
16721508,ME10
16721509,ME15
16721510,ME2
16721511,TN14
16721513,WF3
16724436,CT10
16724437,EC3N
16724438,TN26
16724441,CT9
16724442,CT20
16727488,NN6
16727489,NN6
16727490,NN3
16727498,NN15
16727501,PR7
16721518,ME2
16721519,E15
16721520,SE1
16721526,CT12
16721529,RM11
16721535,ME2
16721537,DA2
16721538,ME16
16721541,BB11
16721552,CF23
16721564,ME1
16721568,HG1
16721573,NW2
16721579,SL3
16721580,KT13
16724445,BN3
16724448,TN28
16724449,TN27
16724451,CT18
16724454,CT3
16730623,B11
16730625,FY2
